Wall time,Step,Value
1683464630.7352784,164100,43.831260681152344
1683464633.2455626,164550,44.52301788330078
1683464634.2139735,164720,44.91023635864258
1683464635.66908,164980,45.33839416503906
1683464637.7973876,165360,46.14670181274414
1683464638.6830184,165520,46.270660400390625
1683464643.62879,166400,47.508575439453125
1683464645.6583622,166760,47.113494873046875
1683464647.6639977,167120,47.74312210083008
1683464650.6500099,167650,48.898475646972656
1683464652.8900187,168050,48.97655487060547
1683464653.5083642,168160,49.07292175292969
1683464654.807889,168390,49.20975112915039
1683464657.7779446,168920,49.881866455078125
1683464660.506646,169400,49.874000549316406
1683464661.3404157,169550,50.433101654052734
1683464662.0694656,169680,50.67505645751953
1683464664.9766896,170200,50.85517883300781
1683464665.5920446,170310,51.090736389160156
1683464667.741296,170690,51.20436477661133
1683464669.1016574,170930,51.07467269897461
1683464672.843647,171590,51.64744186401367
1683464675.6142366,172080,51.68574523925781
1683464679.7162647,172810,51.38340377807617
1683464680.5639973,172960,51.42253494262695
1683464683.2029386,173430,51.73063659667969
1683464685.4319766,173820,52.80776596069336
1683464687.8096168,174250,53.063297271728516
1683464690.2421107,174680,53.85212707519531
1683464690.633065,174750,54.2015380859375
1683464693.1204116,175190,54.51039505004883
1683464694.0289817,175350,54.450645446777344
1683464694.8647463,175500,54.9261589050293
1683464697.6842048,176000,55.30369186401367
1683464697.960466,176050,55.4343147277832
1683464701.9408197,176760,56.6983642578125
1683464702.6708667,176890,57.40230941772461
1683464705.6179838,177410,58.48905944824219
1683464708.7226794,177970,59.8858642578125
1683464712.7758381,178690,60.527626037597656
1683464714.0025582,178910,60.77626037597656
1683464716.7821226,179400,61.3525505065918
1683464717.399471,179510,61.2269401550293
1683464718.4626274,179700,61.75450134277344
1683464722.3731675,180390,62.10899353027344
1683464724.1653743,180710,62.59215545654297
1683464724.8884401,180840,62.94698715209961
1683464728.642399,181510,63.51410675048828
1683464730.2870004,181800,64.1690673828125
1683464733.7317863,182420,66.11309051513672
1683464738.9478343,183350,65.78693389892578
1683464742.2390313,183930,65.17575073242188
1683464743.1296492,184090,64.81230163574219
1683464744.692469,184370,64.3917465209961
1683464750.3413596,185370,65.15682983398438
1683464752.051786,185670,65.43112182617188
1683464755.0946455,186220,65.41980743408203
1683464756.453014,186460,65.40669250488281
1683464759.5148227,187010,65.34249877929688
1683464761.8186603,187420,65.50823211669922
1683464762.9885314,187630,65.74822235107422
1683464765.3931007,188060,64.72274780273438
1683464767.2740686,188390,64.22624206542969
1683464773.2401106,189450,64.01235961914062
1683464773.7457588,189540,64.31844329833984
1683464777.6513124,190230,65.5353775024414
1683464778.550906,190390,65.62113189697266
1683464781.3753512,190890,66.48152160644531
1683464782.2290678,191040,66.62987518310547
1683464785.8962595,191700,67.28338623046875
1683464788.183142,192110,67.1925277709961
1683464789.4577327,192340,67.40274047851562
1683464791.138238,192640,67.26103973388672
